Game_ID,Rental_Date,Return_Date,Rented_Customer_ID
NBA18,01-11-2023,10-11-2023,coai
Cricket05,15-10-2023,25-10-2023,abcd
GTA01,20-09-2023,30-09-2023,efgh
NBA21,05-08-2023,15-08-2023,ijkl
Cricket03,10-07-2023,20-07-2023,mnop
PGA99,05-12-2023,15-12-2023,coai
Cricket06,20-11-2022,30-11-2022,abcd
NBA23,10-10-2023,20-10-2023,efgh
Cricket03,25-08-2023,04-09-2023,ijkl
GTA02,15-07-2023,25-07-2023,mnop
Cricket06,10-06-2023,20-06-2023,qrst
NBA23,05-05-2023,15-05-2023,abcd
Cricket03,01-04-2023,10-04-2023,dcba
GTA02,20-03-2023,30-03-2023,ijkl
NBA21,15-02-2023,25-02-2023,xwvu
Cricket06,10-01-2023,20-01-2023,GOBL
NBA23,05-12-2022,15-12-2022,qrst
GTA02,20-11-2022,30-11-2022,dcba
NBA21,10-10-2022,20-10-2022,ijkl
Cricket03,15-09-2022,25-09-2022,xwvu
NBA23,01-08-2022,10-08-2022,qrst
Cricket06,05-07-2022,15-07-2022,SPUD
GTA02,10-06-2022,20-06-2022,dcba
NBA21,15-05-2022,25-05-2022,ijkl
Cricket03,20-04-2022,30-04-2022,xwvu
NBA23,01-03-2022,10-03-2022,qrst
Cricket07,05-02-2022,15-02-2022,JEFF
GTA02,10-01-2022,20-01-2022,dcba
NBA21,01-11-2023,10-11-2023,ijkl
Cricket03,15-10-2023,25-10-2023,xwvu
PGA99,20-09-2023,30-09-2023,qrst
Cricket07,05-08-2023,15-08-2023,BILL
NBA23,10-07-2023,20-07-2023,ijkl
Cricket03,05-12-2023,15-12-2023,dcba
GTA02,20-11-2023,30-11-2023,xwvu
NBA21,10-10-2023,20-10-2023,qrst
Cricket04,25-08-2023,04-09-2023,IJLK
GTA03,15-07-2023,25-07-2023,dcba
NBA23,10-06-2023,20-06-2023,lkji
Cricket07,05-05-2023,15-05-2023,xwvu
GTA03,01-04-2023,10-04-2023,qrst
NBA23,20-03-2023,30-03-2023,IJLK
Cricket01,15-02-2023,25-02-2023,dcba
GTA03,10-01-2023,20-01-2023,ponm
NBA21,05-12-2022,15-12-2022,xwvu
Cricket04,20-11-2022,30-11-2022,uvwx
NBA23,10-10-2022,20-10-2022,IJLK
Cricket01,15-09-2022,25-09-2022,lkji
GTA04,01-08-2022,10-08-2022,ponm
NBA21,05-07-2022,15-07-2022,QHGI
Cricket04,10-06-2022,20-06-2022,uvwx
NBA23,15-05-2022,25-05-2022,IJLK
GTA04,20-04-2022,30-04-2022,hgfe
NBA17,01-03-2022,10-03-2022,ponm
Cricket01,05-02-2022,15-02-2022,QHGI
GTA04,10-01-2022,20-01-2022,ABDC
NBA20,01-11-2023,10-11-2023,MNPO
Cricket01,15-10-2023,25-10-2023,hgfe
GTA04,20-09-2023,30-09-2023,ponm
NBA16,05-08-2023,15-08-2023,QHGI
Cricket04,10-07-2023,20-07-2023,ABDC
PGA99,05-12-2023,15-12-2023,MNPO
Cricket01,20-11-2023,26-11-2023,hgfe
NBA20,10-10-2023,20-10-2023,ponm
Cricket04,25-08-2023,04-09-2023,QHGI
GTA04,15-07-2023,25-07-2023,ABDC
Cricket01,10-06-2023,20-06-2023,QRTS
NBA20,05-05-2023,15-05-2023,hgfe
Cricket02,01-04-2023,10-04-2023,tsrq
GTA05,20-03-2023,30-03-2023,QHGI
NBA16,15-02-2023,25-02-2023,ABDC
Cricket04,10-01-2023,20-01-2023,QRTS
NBA20,05-12-2022,15-12-2022,hgfe
GTA05,20-11-2022,30-11-2022,tsrq
NBA16,10-10-2022,20-10-2022,QHGI
Cricket02,15-09-2022,25-09-2022,ABDC
NBA20,01-08-2022,10-08-2022,QRTS
Cricket04,05-07-2022,15-07-2022,hgfe
GTA05,10-06-2022,20-06-2022,tsrq
NBA22,15-05-2022,25-05-2022,QHGI
Cricket02,20-04-2022,30-04-2022,ABDC
NBA19,01-03-2022,10-03-2022,QRTS
Cricket05,05-02-2022,15-02-2022,lkji
GTA05,10-01-2022,20-01-2022,tsrq
NBA22,01-11-2023,10-11-2023,LOKI
Cricket02,15-10-2023,25-10-2023,EFHG
PGA98,20-09-2023,30-09-2023,QRTS
Cricket05,05-08-2023,15-08-2023,lkji
NBA19,10-07-2023,20-07-2023,tsrq
Cricket02,05-12-2023,15-12-2023,LOKI
GTA05,20-11-2023,30-11-2023,EFHG
NBA22,10-10-2023,20-10-2023,QRTS
Cricket02,25-08-2023,04-09-2023,lkji
GTA05,15-07-2023,25-07-2023,tsrq
NBA19,10-06-2023,20-06-2023,LOKI
Cricket05,05-05-2023,15-05-2023,IJLK
GTA05,01-04-2023,10-04-2023,QRTS
NBA18,20-03-2023,30-03-2023,lkji
Cricket05,15-02-2023,25-02-2023,tsrq
GTA03,10-01-2023,20-01-2023,LOKI
NBA22,05-12-2022,15-12-2022,IJLK
Cricket02,20-11-2022,30-11-2022,UVXW
Apex01,31-11-2022,10-12-2022,UVXW
NBA18,10-10-2022,NULL,UVXW
GTA03,10-12-2023,NULL,JEFF
NBA19,10-12-2023,NULL,yvqn
PGA00,11-12-2023,NULL,JEFF
PGA98,11-12-2023,11-12-2023,wbkv
Cricket01,11-12-2023,NULL,qrpo
Cricket02,11-12-2023,NULL,cwsj
