CustomerID,SubscriptionType,StartDate,EndDate
coai,Basic,2022-01-01,2024-12-6
abcd,Premium,2022-02-01,2024-12-31
efgh,Basic,2022-03-01,2024-12-31
ijkl,Premium,2022-04-01,2024-12-31
mnop,Basic,2022-05-01,2024-12-31
qrst,Premium,2022-05-01,2024-12-31
uvwx,Premium,2022-05-01,2024-12-31
ABDC,Premium,2022-05-01,2024-12-31
EFHG,Basic,2022-05-01,2024-12-31
IJLK,Premium,2022-05-01,2024-12-31
MNPO,Basic,2022-05-01,2024-12-31
QRTS,Premium,2022-05-01,2024-12-31
UVXW,Premium,2022-05-01,2024-12-31
dcba,Premium,2022-05-01,2024-12-31
hgfe,Premium,2022-05-01,2024-12-31
lkji,Premium,2022-05-01,2024-12-31
ponm,Premium,2022-05-01,2024-12-31
tsrq,Premium,2022-05-01,2024-12-31
xwvu,Premium,2022-05-01,2024-12-31
QHGI,Premium,2022-05-01,2024-12-31
LOKI,Premium,2022-05-01,2024-12-31
GOBL,Premium,2022-05-01,2024-12-31
SPUD,Basic,2022-05-01,2024-12-31
JEFF,Premium,2022-05-01,2024-12-31
BILL,Basic,2022-05-01,2024-12-31
rtin,Premium,2022-05-01,2024-12-31
cmvp,Basic,2022-05-01,2024-12-31
cwsj,Premium,2022-05-01,2024-12-31
wbkv,Basic,2022-05-01,2024-12-31
yvqn,Premium,2022-05-01,2024-12-31
qrpo,Premium,2022-05-01,2024-12-31
rasp,Premium,2022-05-01,2024-12-31
base,Premium,2022-05-01,2024-12-31
